ID;Fecha;PrecioPromedio
336;28/10/2022;1.82
337;27/10/2022;1.82
338;26/10/2022;1.82
339;25/10/2022;1.82
340;24/10/2022;1.82
341;22/10/2022;1.81
342;21/10/2022;1.82
343;20/10/2022;1.82
344;19/10/2022;1.81
345;18/10/2022;1.81
346;17/10/2022;1.81
347;15/10/2022;1.81
348;14/10/2022;1.82
349;13/10/2022;1.81
350;12/10/2022;1.81
351;11/10/2022;1.82
352;10/10/2022;1.83
353;8/10/2022;1.82
354;7/10/2022;1.83
355;6/10/2022;1.83
356;5/10/2022;1.83
357;4/10/2022;1.83
358;3/10/2022;1.83
359;1/10/2022;1.83
360;30/09/2022;1.83
361;29/09/2022;1.83
362;28/09/2022;1.83
363;27/09/2022;1.83
364;26/09/2022;1.83
365;24/09/2022;1.83
366;23/09/2022;1.81
367;22/09/2022;1.81
368;21/09/2022;1.82
369;20/09/2022;1.82
370;19/09/2022;1.83
371;17/09/2022;1.83
372;16/09/2022;1.83
373;15/09/2022;1.82
374;14/09/2022;1.83
375;13/09/2022;1.83
376;12/09/2022;1.83
377;10/09/2022;1.84
378;9/09/2022;1.84
379;8/09/2022;1.85
380;7/09/2022;1.84
381;6/09/2022;1.84
382;5/09/2022;1.85
383;4/09/2022;1.85
384;3/09/2022;1.85
385;2/09/2022;1.85
386;1/09/2022;1.85
387;31/08/2022;1.86
388;30/08/2022;1.87
389;29/08/2022;1.86
390;27/08/2022;1.87
391;26/08/2022;1.87
392;25/08/2022;1.87
393;24/08/2022;1.87
394;23/08/2022;1.88
395;22/08/2022;1.88
396;20/08/2022;1.89
397;19/08/2022;1.89
398;18/08/2022;1.89
399;17/08/2022;1.9
400;16/08/2022;1.91
401;15/08/2022;1.92
402;13/08/2022;1.93
403;12/08/2022;1.93
404;11/08/2022;1.93
405;10/08/2022;1.93
406;9/08/2022;1.93
407;8/08/2022;1.93
408;6/08/2022;1.95
409;5/08/2022;1.95
410;4/08/2022;1.95
411;3/08/2022;1.96
412;2/08/2022;1.95
413;1/08/2022;1.95
414;31/07/2022;1.95
415;30/07/2022;1.95
416;29/07/2022;1.96
417;28/07/2022;1.96
418;27/07/2022;1.96
419;26/07/2022;1.96
420;25/07/2022;1.96
421;24/07/2022;1.97
422;23/07/2022;1.97
423;22/07/2022;1.97
424;21/07/2022;1.97
425;20/07/2022;1.97
426;19/07/2022;1.97
427;18/07/2022;1.97
428;17/07/2022;1.97
429;16/07/2022;1.97
430;15/07/2022;1.98
431;14/07/2022;1.98
432;13/07/2022;1.98
433;12/07/2022;1.98
434;11/07/2022;1.98
435;10/07/2022;1.98
436;9/07/2022;1.98
437;8/07/2022;1.98
438;7/07/2022;1.98
439;6/07/2022;1.97
440;5/07/2022;1.97
441;4/07/2022;1.97
442;3/07/2022;1.97
443;2/07/2022;1.95
444;1/07/2022;1.96
445;30/06/2022;1.95
446;29/06/2022;1.94
447;28/06/2022;1.93
448;27/06/2022;1.88
449;26/06/2022;1.85
450;25/06/2022;1.85
451;24/06/2022;1.85
452;23/06/2022;1.84
453;22/06/2022;1.83
454;21/06/2022;1.8
455;20/06/2022;1.76
456;18/06/2022;1.76
457;17/06/2022;1.76
458;16/06/2022;1.75
